Monthly_Uncertainity,Monthly_Temperature,Date
0.226,8.297,1919-02-01
0.206,8.08,1919-03-01
0.23,8.807,1919-04-01
0.285,8.267000000000001,1919-05-01
0.24,8.383000000000001,1919-06-01
0.316,8.533000000000001,1919-07-01
0.328,8.561,1919-08-01
0.244,8.51,1919-09-01
0.204,8.731,1919-10-01
0.195,8.030000000000001,1919-11-01
0.221,8.212,1919-12-01
0.228,8.89,1920-01-01
0.234,8.157,1920-02-01
0.235,8.576,1920-03-01
0.253,8.611,1920-04-01
0.29,8.437000000000001,1920-05-01
0.269,8.251000000000001,1920-06-01
0.32299999999999995,8.509,1920-07-01
0.331,8.408000000000001,1920-08-01
0.245,8.331,1920-09-01
0.182,8.402999999999999,1920-10-01
0.203,8.099,1920-11-01
0.218,7.647,1920-12-01
0.214,8.998000000000003,1921-01-01
0.236,8.566,1921-02-01
0.195,8.392000000000001,1921-03-01
0.244,8.646,1921-04-01
0.289,8.533000000000001,1921-05-01
0.241,8.6,1921-06-01
0.305,8.687999999999999,1921-07-01
0.329,8.283,1921-08-01
0.24,8.392000000000001,1921-09-01
0.203,8.657,1921-10-01
0.191,8.402999999999999,1921-11-01
0.259,8.676,1921-12-01
0.242,8.156,1922-01-01
0.3,7.7810000000000015,1922-02-01
0.205,8.495000000000001,1922-03-01
0.236,8.71,1922-04-01
0.287,8.405000000000001,1922-05-01
0.235,8.49,1922-06-01
0.3,8.52,1922-07-01
0.328,8.279,1922-08-01
0.241,8.275,1922-09-01
0.213,8.399000000000001,1922-10-01
0.187,8.561,1922-11-01
0.209,8.635,1922-12-01
0.217,8.539,1923-01-01
0.214,7.977,1923-02-01
0.225,8.207,1923-03-01
0.237,8.064,1923-04-01
0.294,8.157,1923-05-01
0.254,8.42,1923-06-01
0.308,8.200000000000001,1923-07-01
0.33,8.326,1923-08-01
0.257,8.399000000000001,1923-09-01
0.191,8.878,1923-10-01
0.2,8.879,1923-11-01
0.224,8.857999999999999,1923-12-01
0.237,8.337,1924-01-01
0.227,8.326,1924-02-01
0.192,8.675,1924-03-01
0.245,8.276,1924-04-01
0.311,8.485000000000001,1924-05-01
0.249,8.462,1924-06-01
0.306,8.521,1924-07-01
0.324,8.355,1924-08-01
0.241,8.466000000000001,1924-09-01
0.182,8.584,1924-10-01
0.228,8.898,1924-11-01
0.235,8.449,1924-12-01
0.224,8.282,1925-01-01
0.25,8.092,1925-02-01
0.201,8.375,1925-03-01
0.25,8.72,1925-04-01
0.306,8.336,1925-05-01
0.25,8.226,1925-06-01
0.304,8.332,1925-07-01
0.336,8.495000000000001,1925-08-01
0.258,8.504,1925-09-01
0.182,8.581,1925-10-01
0.183,8.871,1925-11-01
0.198,9.327,1925-12-01
0.226,9.455,1926-01-01
0.206,9.118,1926-02-01
0.202,9.125,1926-03-01
0.239,8.508000000000001,1926-04-01
0.28,8.216000000000001,1926-05-01
0.261,8.379,1926-06-01
0.317,8.411,1926-07-01
0.324,8.595,1926-08-01
0.248,8.596,1926-09-01
0.201,8.926,1926-10-01
0.191,8.779,1926-11-01
0.234,8.285,1926-12-01
0.221,8.34,1927-01-01
0.251,8.41,1927-02-01
0.252,7.94,1927-03-01
0.26,8.337,1927-04-01
0.28600000000000003,8.441,1927-05-01
0.24,8.383000000000001,1927-06-01
0.3,8.527000000000001,1927-07-01
0.332,8.413,1927-08-01
0.249,8.759,1927-09-01
0.19,9.253,1927-10-01
0.193,8.811,1927-11-01
0.197,8.169,1927-12-01
0.207,8.997,1928-01-01
0.225,8.722999999999999,1928-02-01
0.206,8.292,1928-03-01
0.237,8.546000000000001,1928-04-01
0.284,8.442,1928-05-01
0.233,8.207,1928-06-01
0.29600000000000004,8.523,1928-07-01
0.324,8.408000000000001,1928-08-01
0.237,8.55,1928-09-01
0.185,8.835,1928-10-01
0.205,8.824,1928-11-01
0.222,8.808,1928-12-01
0.221,8.036,1929-01-01
0.214,7.542000000000002,1929-02-01
0.197,8.399000000000001,1929-03-01
0.25,8.362,1929-04-01
0.299,8.185,1929-05-01
0.231,8.036,1929-06-01
0.3,8.176,1929-07-01
0.319,8.375,1929-08-01
0.259,8.345,1929-09-01
0.193,8.822000000000003,1929-10-01
0.243,8.674,1929-11-01
0.221,7.513999999999999,1929-12-01
0.244,8.346,1930-01-01
0.225,8.504,1930-02-01
0.218,8.799,1930-03-01
0.235,8.447000000000001,1930-04-01
0.285,8.343,1930-05-01
0.234,8.42,1930-06-01
0.301,8.672,1930-07-01
0.322,8.603,1930-08-01
0.243,8.387,1930-09-01
0.184,8.613,1930-10-01
0.225,9.026,1930-11-01
0.22,8.728,1930-12-01
0.239,8.687999999999999,1931-01-01
0.228,8.109,1931-02-01
0.204,8.527999999999999,1931-03-01
0.243,8.421000000000001,1931-04-01
0.28,8.261000000000001,1931-05-01
0.228,8.657,1931-06-01
0.303,8.798,1931-07-01
0.322,8.814,1931-08-01
0.253,8.802999999999999,1931-09-01
0.182,9.295,1931-10-01
0.182,8.751000000000001,1931-11-01
0.187,8.981,1931-12-01
0.191,9.586,1932-01-01
0.201,8.354000000000001,1932-02-01
0.189,8.221,1932-03-01
0.251,9.019,1932-04-01
0.285,8.48,1932-05-01
0.244,8.466000000000001,1932-06-01
0.302,8.597000000000001,1932-07-01
0.32299999999999995,8.464,1932-08-01
0.243,8.807,1932-09-01
0.17600000000000002,9.017999999999999,1932-10-01
0.18600000000000005,8.359,1932-11-01
0.195,8.467,1932-12-01
0.187,8.146,1933-01-01
0.21,8.033000000000001,1933-02-01
0.21600000000000005,8.133000000000001,1933-03-01
0.244,8.371,1933-04-01
0.282,8.32,1933-05-01
0.231,8.205,1933-06-01
0.303,8.457,1933-07-01
0.32299999999999995,8.47,1933-08-01
0.247,8.353,1933-09-01
0.18600000000000005,8.58,1933-10-01
0.196,8.367,1933-11-01
0.203,8.027999999999999,1933-12-01
0.208,8.42,1934-01-01
0.199,9.038,1934-02-01
0.194,8.052,1934-03-01
0.247,8.259,1934-04-01
0.282,8.738,1934-05-01
0.228,8.51,1934-06-01
0.302,8.575000000000001,1934-07-01
0.33,8.487,1934-08-01
0.246,8.243,1934-09-01
0.19,8.780000000000001,1934-10-01
0.183,8.874,1934-11-01
0.217,8.902999999999999,1934-12-01
0.227,8.131,1935-01-01
0.199,9.469,1935-02-01
0.203,8.658999999999999,1935-03-01
0.241,8.017000000000001,1935-04-01
0.28,8.151,1935-05-01
0.241,8.412,1935-06-01
0.297,8.552,1935-07-01
0.326,8.479000000000001,1935-08-01
0.235,8.5,1935-09-01
0.184,8.852,1935-10-01
0.203,7.939,1935-11-01
0.2,8.356,1935-12-01
0.229,8.19,1936-01-01
0.206,7.858,1936-02-01
0.215,8.288,1936-03-01
0.242,8.373000000000001,1936-04-01
0.28800000000000003,8.5,1936-05-01
0.229,8.446,1936-06-01
0.303,8.835,1936-07-01
0.33,8.568,1936-08-01
0.24,8.52,1936-09-01
0.17800000000000002,8.812999999999999,1936-10-01
0.195,8.713000000000001,1936-11-01
0.188,8.834,1936-12-01
0.191,8.411,1937-01-01
0.218,8.911,1937-02-01
0.263,8.136000000000001,1937-03-01
0.251,8.386000000000001,1937-04-01
0.287,8.665000000000001,1937-05-01
0.234,8.683,1937-06-01
0.302,8.583,1937-07-01
0.325,8.719000000000001,1937-08-01
0.248,8.889000000000003,1937-09-01
0.194,9.075,1937-10-01
0.185,8.839,1937-11-01
0.227,8.411,1937-12-01
0.18600000000000005,8.874,1938-01-01
0.2,8.786,1938-02-01
0.237,8.917,1938-03-01
0.246,9.172,1938-04-01
0.28800000000000003,8.722999999999999,1938-05-01
0.228,8.407,1938-06-01
0.3,8.693,1938-07-01
0.326,8.67,1938-08-01
0.24,8.92,1938-09-01
0.175,9.14,1938-10-01
0.194,9.061,1938-11-01
0.219,8.455,1938-12-01
0.19,8.9,1939-01-01
0.213,8.612,1939-02-01
0.222,8.205,1939-03-01
0.258,8.587,1939-04-01
0.294,8.775,1939-05-01
0.248,8.634,1939-06-01
0.315,8.638,1939-07-01
0.324,8.652999999999999,1939-08-01
0.244,8.467,1939-09-01
0.185,8.588000000000001,1939-10-01
0.187,8.679,1939-11-01
0.196,9.895,1939-12-01
0.203,8.311,1940-01-01
0.2,8.780000000000001,1940-02-01
0.197,8.665000000000001,1940-03-01
0.237,8.99,1940-04-01
0.284,8.575000000000001,1940-05-01
0.232,8.684000000000001,1940-06-01
0.304,8.825000000000003,1940-07-01
0.324,8.551,1940-08-01
0.251,8.799,1940-09-01
0.201,8.832,1940-10-01
0.193,8.57,1940-11-01
0.199,9.067,1940-12-01
0.189,8.717,1941-01-01
0.197,9.016,1941-02-01
0.18600000000000005,8.487,1941-03-01
0.239,8.823,1941-04-01
0.284,8.751000000000001,1941-05-01
0.238,8.746,1941-06-01
0.305,8.939,1941-07-01
0.324,8.757,1941-08-01
0.234,8.356,1941-09-01
0.173,9.086,1941-10-01
0.189,8.457,1941-11-01
0.209,8.642000000000001,1941-12-01
0.185,9.072,1942-01-01
0.202,8.255,1942-02-01
0.189,8.586,1942-03-01
0.236,8.695,1942-04-01
0.278,8.606,1942-05-01
0.228,8.685,1942-06-01
0.29600000000000004,8.479000000000001,1942-07-01
0.32299999999999995,8.513,1942-08-01
0.239,8.672,1942-09-01
0.17600000000000002,8.993,1942-10-01
0.183,8.894,1942-11-01
0.191,8.865,1942-12-01
0.181,8.362,1943-01-01
0.188,8.911,1943-02-01
0.189,8.415000000000001,1943-03-01
0.237,8.907,1943-04-01
0.277,8.732999999999999,1943-05-01
0.229,8.264000000000001,1943-06-01
0.309,8.702,1943-07-01
0.317,8.507,1943-08-01
0.234,8.618,1943-09-01
0.17800000000000002,9.272,1943-10-01
0.173,8.747,1943-11-01
0.188,9.193,1943-12-01
0.18600000000000005,9.501,1944-01-01
0.192,8.959,1944-02-01
0.181,8.8,1944-03-01
0.226,8.700000000000001,1944-04-01
0.278,8.613,1944-05-01
0.225,8.576,1944-06-01
0.29,8.701,1944-07-01
0.308,8.752,1944-08-01
0.231,8.968,1944-09-01
0.17800000000000002,9.166,1944-10-01
0.18,8.597999999999999,1944-11-01
0.191,8.402000000000001,1944-12-01
0.184,8.516,1945-01-01
0.199,8.025,1945-02-01
0.18,8.456,1945-03-01
0.232,8.925,1945-04-01
0.275,8.354000000000001,1945-05-01
0.232,8.44,1945-06-01
0.29600000000000004,8.453000000000001,1945-07-01
0.317,9.032,1945-08-01
0.239,8.738,1945-09-01
0.179,8.946,1945-10-01
0.18,8.583,1945-11-01
0.185,8.117,1945-12-01
0.183,8.974,1946-01-01
0.197,8.849,1946-02-01
0.195,8.525,1946-03-01
0.226,9.107999999999999,1946-04-01
0.266,8.63,1946-05-01
0.224,8.427,1946-06-01
0.29100000000000004,8.667,1946-07-01
0.316,8.557,1946-08-01
0.23,8.594000000000001,1946-09-01
0.17800000000000002,8.665000000000001,1946-10-01
0.172,8.76,1946-11-01
0.181,8.128,1946-12-01
0.174,8.606,1947-01-01
0.181,8.684000000000001,1947-02-01
0.188,9.08,1947-03-01
0.219,8.949,1947-04-01
0.269,8.602,1947-05-01
0.22,8.555,1947-06-01
0.28600000000000003,8.603,1947-07-01
0.31,8.575000000000001,1947-08-01
0.232,8.699,1947-09-01
0.18,9.388,1947-10-01
0.18,8.934000000000003,1947-11-01
0.19,8.621,1947-12-01
0.17600000000000002,9.357,1948-01-01
0.17800000000000002,8.592,1948-02-01
0.187,8.200000000000001,1948-03-01
0.21600000000000005,8.764000000000001,1948-04-01
0.26,8.777000000000001,1948-05-01
0.21,8.765,1948-06-01
0.276,8.677999999999999,1948-07-01
0.298,8.618,1948-08-01
0.219,8.67,1948-09-01
0.158,8.96,1948-10-01
0.166,8.722999999999999,1948-11-01
0.174,8.465,1948-12-01
0.177,9.226,1949-01-01
0.174,8.147,1949-02-01
0.163,8.343,1949-03-01
0.219,8.609,1949-04-01
0.258,8.562999999999999,1949-05-01
0.213,8.309000000000001,1949-06-01
0.274,8.439,1949-07-01
0.297,8.543000000000001,1949-08-01
0.21600000000000005,8.458,1949-09-01
0.18,8.901,1949-10-01
0.166,8.662,1949-11-01
0.18600000000000005,8.43,1949-12-01
0.171,8.003,1950-01-01
0.157,8.112,1950-02-01
0.14400000000000002,8.525,1950-03-01
0.194,8.385,1950-04-01
0.23,8.548,1950-05-01
0.184,8.486,1950-06-01
0.237,8.396,1950-07-01
0.223,8.187000000000001,1950-08-01
0.192,8.494,1950-09-01
0.149,8.544,1950-10-01
0.129,7.9,1950-11-01
0.147,8.522,1950-12-01
0.119,8.136000000000001,1951-01-01
0.151,7.73,1951-02-01
0.156,8.374,1951-03-01
0.161,8.641,1951-04-01
0.218,8.715,1951-05-01
0.202,8.356,1951-06-01
0.242,8.545,1951-07-01
0.253,8.749,1951-08-01
0.223,8.836,1951-09-01
0.131,9.049,1951-10-01
0.136,8.756,1951-11-01
0.156,9.3,1951-12-01
0.14400000000000002,9.051,1952-01-01
0.177,8.787,1952-02-01
0.17800000000000002,8.249,1952-03-01
0.226,8.743,1952-04-01
0.274,8.607999999999999,1952-05-01
0.213,8.571,1952-06-01
0.282,8.802999999999999,1952-07-01
0.304,8.711,1952-08-01
0.223,8.782,1952-09-01
0.166,8.538,1952-10-01
0.173,7.9780000000000015,1952-11-01
0.179,8.649000000000001,1952-12-01
0.16899999999999998,8.966000000000003,1953-01-01
0.18600000000000005,9.032,1953-02-01
0.175,9.013,1953-03-01
0.232,9.164,1953-04-01
0.278,8.773,1953-05-01
0.21600000000000005,8.722000000000001,1953-06-01
0.285,8.646,1953-07-01
0.305,8.799,1953-08-01
0.222,8.755,1953-09-01
0.173,8.979000000000003,1953-10-01
0.172,8.462,1953-11-01
0.175,8.981,1953-12-01
0.145,8.068999999999999,1954-01-01
0.184,8.443,1954-02-01
0.162,8.459,1954-03-01
0.213,8.442,1954-04-01
0.22,8.258000000000001,1954-05-01
0.188,8.517000000000001,1954-06-01
0.227,8.493,1954-07-01
0.249,8.596,1954-08-01
0.205,8.628,1954-09-01
0.14800000000000002,8.937999999999999,1954-10-01
0.146,9.118,1954-11-01
0.159,8.546000000000001,1954-12-01
0.136,9.416,1955-01-01
0.14400000000000002,8.548,1955-02-01
0.12,7.892,1955-03-01
0.14400000000000002,8.404,1955-04-01
0.18600000000000005,8.459,1955-05-01
0.134,8.671000000000001,1955-06-01
0.17800000000000002,8.5,1955-07-01
0.237,9.027999999999999,1955-08-01
0.142,8.485000000000001,1955-09-01
0.112,9.118,1955-10-01
0.134,8.511000000000001,1955-11-01
0.136,8.294,1955-12-01
0.1,8.484,1956-01-01
0.115,8.177,1956-02-01
0.118,8.195,1956-03-01
0.078,8.199,1956-04-01
0.085,7.9940000000000015,1956-05-01
0.135,8.288,1956-06-01
0.066,8.456,1956-07-01
0.121,7.94,1956-08-01
0.09,8.331,1956-09-01
0.094,8.324,1956-10-01
0.127,8.279,1956-11-01
0.17,8.577,1956-12-01
0.11,8.5,1957-01-01
0.09,8.522,1957-02-01
0.08199999999999999,8.329,1957-03-01
0.189,8.645,1957-04-01
0.099,8.523,1957-05-01
0.206,8.906,1957-06-01
0.23,8.387,1957-07-01
0.184,8.828000000000003,1957-08-01
0.349,8.846,1957-09-01
0.155,8.887,1957-10-01
0.129,8.927999999999999,1957-11-01
0.118,9.315,1957-12-01
0.102,9.577,1958-01-01
0.152,9.095,1958-02-01
0.092,8.758000000000001,1958-03-01
0.051,8.807,1958-04-01
0.07400000000000001,8.791,1958-05-01
0.106,8.314,1958-06-01
0.13699999999999998,8.696,1958-07-01
0.116,8.346,1958-08-01
0.086,8.389000000000001,1958-09-01
0.079,8.774000000000001,1958-10-01
0.078,8.811,1958-11-01
0.099,8.805,1958-12-01
0.043,8.963000000000003,1959-01-01
0.07400000000000001,8.738999999999999,1959-02-01
0.188,9.17,1959-03-01
0.11,9.107,1959-04-01
0.093,8.603,1959-05-01
0.046,8.705,1959-06-01
0.102,8.707,1959-07-01
0.095,8.616,1959-08-01
0.101,8.478,1959-09-01
0.09,8.554,1959-10-01
0.056,8.298,1959-11-01
0.062,8.764000000000001,1959-12-01
0.066,8.734,1960-01-01
0.095,9.212,1960-02-01
0.077,7.599,1960-03-01
0.059,8.375,1960-04-01
0.081,8.144,1960-05-01
0.071,8.607999999999999,1960-06-01
0.08800000000000001,8.459,1960-07-01
0.108,8.57,1960-08-01
0.078,8.63,1960-09-01
0.046,8.875,1960-10-01
0.129,8.370000000000001,1960-11-01
0.079,9.257,1960-12-01
0.077,8.952,1961-01-01
0.101,9.103,1961-02-01
0.073,8.881,1961-03-01
0.149,8.936,1961-04-01
0.079,8.902999999999999,1961-05-01
0.128,8.827,1961-06-01
0.063,8.574,1961-07-01
0.157,8.609,1961-08-01
0.077,8.786,1961-09-01
0.17600000000000002,8.701,1961-10-01
0.066,8.747,1961-11-01
0.044,8.491,1961-12-01
0.07,9.01,1962-01-01
0.062,9.103,1962-02-01
0.132,8.843,1962-03-01
0.131,8.822000000000003,1962-04-01
0.048,8.398,1962-05-01
0.193,8.561,1962-06-01
0.061,8.475,1962-07-01
0.102,8.459,1962-08-01
0.256,8.547,1962-09-01
0.204,8.842,1962-10-01
0.145,8.826,1962-11-01
0.066,8.908999999999999,1962-12-01
0.069,8.908999999999999,1963-01-01
0.052000000000000005,9.447,1963-02-01
0.107,8.408999999999999,1963-03-01
0.099,8.447000000000001,1963-04-01
0.08,8.31,1963-05-01
0.091,8.545,1963-06-01
0.09,8.773,1963-07-01
0.047,9.065,1963-08-01
0.147,9.11,1963-09-01
0.079,9.335,1963-10-01
0.105,9.102,1963-11-01
0.07,8.741,1963-12-01
0.152,8.887,1964-01-01
0.057,8.442,1964-02-01
0.065,8.175,1964-03-01
0.085,8.203000000000001,1964-04-01
0.069,8.177999999999999,1964-05-01
0.095,8.607999999999999,1964-06-01
0.105,8.58,1964-07-01
0.15,8.406,1964-08-01
0.056,8.119,1964-09-01
0.084,8.226,1964-10-01
0.08199999999999999,8.524000000000001,1964-11-01
0.071,8.44,1964-12-01
0.078,8.873000000000003,1965-01-01
0.093,8.442,1965-02-01
0.098,8.488,1965-03-01
0.113,8.275,1965-04-01
0.14,8.498000000000001,1965-05-01
0.188,8.452,1965-06-01
0.13699999999999998,8.339,1965-07-01
0.055,8.564,1965-08-01
0.113,8.274000000000001,1965-09-01
0.117,8.88,1965-10-01
0.073,8.405000000000001,1965-11-01
0.104,8.762,1965-12-01
0.044,8.498000000000001,1966-01-01
0.069,8.697000000000001,1966-02-01
0.146,8.837,1966-03-01
0.117,8.439,1966-04-01
0.056,8.482999999999999,1966-05-01
0.134,8.687999999999999,1966-06-01
0.109,8.866,1966-07-01
0.097,8.504,1966-08-01
0.056,8.683,1966-09-01
0.097,8.517000000000001,1966-10-01
0.115,8.494,1966-11-01
0.064,8.362,1966-12-01
0.062,8.728,1967-01-01
0.08800000000000001,8.316,1967-02-01
0.107,8.724,1967-03-01
0.097,8.689,1967-04-01
0.101,8.911,1967-05-01
0.078,8.309000000000001,1967-06-01
0.119,8.641,1967-07-01
0.152,8.482999999999999,1967-08-01
0.071,8.603,1967-09-01
0.06,9.201,1967-10-01
0.093,8.717,1967-11-01
0.04,8.896,1967-12-01
0.07,8.375,1968-01-01
0.067,8.658,1968-02-01
0.066,9.44,1968-03-01
0.086,8.735000000000001,1968-04-01
0.092,8.282,1968-05-01
0.105,8.366,1968-06-01
0.107,8.247,1968-07-01
0.081,8.235000000000001,1968-08-01
0.131,8.097999999999999,1968-09-01
0.1,8.844000000000003,1968-10-01
0.091,8.432,1968-11-01
0.041,8.218,1968-12-01
0.038,7.968999999999999,1969-01-01
0.077,7.8610000000000015,1969-02-01
0.111,8.402999999999999,1969-03-01
0.095,8.863999999999999,1969-04-01
0.05,8.628,1969-05-01
0.069,8.611,1969-06-01
0.105,8.485000000000001,1969-07-01
0.091,8.568,1969-08-01
0.075,8.544,1969-09-01
0.085,8.887,1969-10-01
0.049,8.96,1969-11-01
0.078,9.191,1969-12-01
0.07,8.846,1970-01-01
0.094,9.164,1970-02-01
0.114,8.6,1970-03-01
0.091,8.878,1970-04-01
0.05,8.487,1970-05-01
0.16699999999999998,8.642999999999999,1970-06-01
0.08800000000000001,8.677999999999999,1970-07-01
0.076,8.411,1970-08-01
0.053,8.823,1970-09-01
0.062,8.74,1970-10-01
0.067,8.594000000000001,1970-11-01
0.049,8.51,1970-12-01
0.06,8.987,1971-01-01
0.113,8.3,1971-02-01
0.039,8.327,1971-03-01
0.08199999999999999,8.627,1971-04-01
0.109,8.501000000000001,1971-05-01
0.07,8.226,1971-06-01
0.083,8.406,1971-07-01
0.077,8.637,1971-08-01
0.124,8.672,1971-09-01
0.079,8.783999999999999,1971-10-01
0.093,8.847000000000001,1971-11-01
0.066,8.860000000000003,1971-12-01
0.078,7.9,1972-01-01
0.08199999999999999,8.023,1972-02-01
0.142,8.549,1972-03-01
0.084,8.646,1972-04-01
0.092,8.459,1972-05-01
0.11,8.65,1972-06-01
0.149,8.503,1972-07-01
0.099,8.931000000000003,1972-08-01
0.162,8.447000000000001,1972-09-01
0.121,8.743,1972-10-01
0.087,8.353,1972-11-01
0.066,8.776,1972-12-01
0.108,9.059,1973-01-01
0.123,9.318,1973-02-01
0.061,9.152999999999999,1973-03-01
0.116,9.249,1973-04-01
0.05,9.048,1973-05-01
0.044,8.964,1973-06-01
0.128,8.72,1973-07-01
0.17600000000000002,8.618,1973-08-01
0.063,8.665000000000001,1973-09-01
0.099,9.013,1973-10-01
0.071,8.783000000000001,1973-11-01
0.043,8.823,1973-12-01
0.106,8.282,1974-01-01
0.121,8.002,1974-02-01
0.111,8.529,1974-03-01
0.109,8.645,1974-04-01
0.096,8.486,1974-05-01
0.051,8.516,1974-06-01
0.109,8.567,1974-07-01
0.124,8.762,1974-08-01
0.134,8.287,1974-09-01
0.06,8.499,1974-10-01
0.08800000000000001,8.466000000000001,1974-11-01
0.129,8.536,1974-12-01
0.051,9.07,1975-01-01
0.076,8.822000000000003,1975-02-01
0.107,9.041,1975-03-01
0.112,8.882,1975-04-01
0.095,9.03,1975-05-01
0.134,8.683,1975-06-01
0.131,8.626000000000001,1975-07-01
0.17800000000000002,8.232999999999999,1975-08-01
0.08800000000000001,8.66,1975-09-01
0.05,8.713000000000001,1975-10-01
0.055,8.450000000000001,1975-11-01
0.063,8.647,1975-12-01
0.054000000000000006,8.906,1976-01-01
0.096,8.472000000000001,1976-02-01
0.08199999999999999,7.841,1976-03-01
0.115,8.589,1976-04-01
0.16,8.252,1976-05-01
0.103,8.216000000000001,1976-06-01
0.17800000000000002,8.427,1976-07-01
0.203,8.267999999999999,1976-08-01
0.058,8.439,1976-09-01
0.14800000000000002,7.915,1976-10-01
0.078,8.219000000000001,1976-11-01
0.044,8.672,1976-12-01
0.039,8.517000000000001,1977-01-01
0.111,8.894,1977-02-01
0.091,9.043,1977-03-01
0.079,9.154,1977-04-01
0.097,9.107999999999999,1977-05-01
0.048,9.024,1977-06-01
0.09,8.919,1977-07-01
0.09,8.861,1977-08-01
0.076,8.408000000000001,1977-09-01
0.07400000000000001,8.564,1977-10-01
0.059,9.099,1977-11-01
0.027000000000000003,8.737,1977-12-01
0.084,8.732000000000001,1978-01-01
0.08800000000000001,8.889000000000003,1978-02-01
0.062,8.949,1978-03-01
0.113,9.097999999999999,1978-04-01
0.055,8.667,1978-05-01
0.07400000000000001,8.365,1978-06-01
0.192,8.622,1978-07-01
0.08900000000000001,8.058,1978-08-01
0.09,8.577,1978-09-01
0.077,8.746,1978-10-01
0.077,8.905000000000003,1978-11-01
0.08,8.732000000000001,1978-12-01
0.066,8.699,1979-01-01
0.066,8.263,1979-02-01
0.051,8.77,1979-03-01
0.053,8.759,1979-04-01
0.087,8.445,1979-05-01
0.117,8.575000000000001,1979-06-01
0.084,8.392999999999999,1979-07-01
0.087,8.597000000000001,1979-08-01
0.058,8.779,1979-09-01
0.086,8.988,1979-10-01
0.105,8.842,1979-11-01
0.094,9.596,1979-12-01
0.085,8.977,1980-01-01
0.061,9.078,1980-02-01
0.07200000000000001,8.696,1980-03-01
0.102,9.219,1980-04-01
0.08199999999999999,9.045,1980-05-01
0.08,8.72,1980-06-01
0.081,9.023,1980-07-01
0.095,8.950000000000003,1980-08-01
0.071,8.871,1980-09-01
0.036000000000000004,8.946,1980-10-01
0.111,9.228,1980-11-01
0.094,8.994,1980-12-01
0.058,9.826,1981-01-01
0.06,9.465,1981-02-01
0.08,9.565,1981-03-01
0.081,9.246,1981-04-01
0.115,8.795,1981-05-01
0.119,8.906,1981-06-01
0.062,8.994,1981-07-01
0.14,9.261,1981-08-01
0.068,8.745000000000001,1981-09-01
0.066,8.774000000000001,1981-10-01
0.063,8.805,1981-11-01
0.028,9.501,1981-12-01
0.073,8.574,1982-01-01
0.059,8.724,1982-02-01
0.064,8.209,1982-03-01
0.083,8.777999999999999,1982-04-01
0.068,8.628,1982-05-01
0.066,8.398,1982-06-01
0.099,8.832,1982-07-01
0.073,8.562999999999999,1982-08-01
0.071,8.59,1982-09-01
0.042,8.637,1982-10-01
0.13,8.521,1982-11-01
0.12,9.334,1982-12-01
0.053,9.478,1983-01-01
0.06,9.266,1983-02-01
0.071,9.016,1983-03-01
0.066,8.996,1983-04-01
0.083,9.041,1983-05-01
0.096,8.623000000000001,1983-06-01
0.059,8.687999999999999,1983-07-01
0.122,9.073,1983-08-01
0.126,9.242,1983-09-01
0.079,8.891,1983-10-01
0.095,9.317,1983-11-01
0.06,8.832,1983-12-01
0.057,8.975,1984-01-01
0.027000000000000003,8.521,1984-02-01
0.058,9.004,1984-03-01
0.096,8.722999999999999,1984-04-01
0.07200000000000001,9.28,1984-05-01
0.199,8.513,1984-06-01
0.111,8.697000000000001,1984-07-01
0.066,8.717,1984-08-01
0.055,8.564,1984-09-01
0.055,8.782,1984-10-01
0.116,8.375,1984-11-01
0.086,8.177999999999999,1984-12-01
0.046,9.05,1985-01-01
0.06,8.142999999999999,1985-02-01
0.032,8.794,1985-03-01
0.121,8.917,1985-04-01
0.068,8.717,1985-05-01
0.121,8.719000000000001,1985-06-01
0.098,8.271,1985-07-01
0.08800000000000001,8.827,1985-08-01
0.086,8.519,1985-09-01
0.094,8.732999999999999,1985-10-01
0.104,8.531,1985-11-01
0.094,8.796000000000001,1985-12-01
0.103,9.347999999999999,1986-01-01
0.059,9.437999999999999,1986-02-01
0.066,9.11,1986-03-01
0.054000000000000006,9.155,1986-04-01
0.057,8.879,1986-05-01
0.093,8.55,1986-06-01
0.077,8.581,1986-07-01
0.105,8.726,1986-08-01
0.112,8.381,1986-09-01
0.058,8.713000000000001,1986-10-01
0.07200000000000001,8.49,1986-11-01
0.076,8.761000000000001,1986-12-01
0.067,9.172,1987-01-01
0.067,9.579,1987-02-01
0.045,8.585,1987-03-01
0.058,8.898,1987-04-01
0.084,8.802999999999999,1987-05-01
0.08900000000000001,9.064,1987-06-01
0.096,9.162,1987-07-01
0.093,8.658,1987-08-01
0.087,9.006,1987-09-01
0.069,9.008,1987-10-01
0.07200000000000001,8.602,1987-11-01
0.07,9.497,1987-12-01
0.028,9.501,1988-01-01
0.066,8.885,1988-02-01
0.065,9.263,1988-03-01
0.046,9.298,1988-04-01
0.07,9.142,1988-05-01
0.122,9.234,1988-06-01
0.071,9.046,1988-07-01
0.133,9.301,1988-08-01
0.063,9.238,1988-09-01
0.092,9.397,1988-10-01
0.086,8.857999999999999,1988-11-01
0.111,9.382,1988-12-01
0.069,8.75,1989-01-01
0.058,9.065,1989-02-01
0.083,9.127,1989-03-01
0.07200000000000001,9.01,1989-04-01
0.057,8.555,1989-05-01
0.114,8.617,1989-06-01
0.115,8.905000000000003,1989-07-01
0.062,8.897,1989-08-01
0.04,8.957,1989-09-01
0.034,9.173,1989-10-01
